jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2015;43003;Tata Steel Nederland Tubes BV locatie Oosterhout;Oosterhout;Kooldioxide (CO2);2181450;kg
2015;43013;Nyrstar Budel BV;Budel-Dorplein;Kooldioxide (CO2);42428000;kg
2015;43024;Nedschroef Helmond BV;Helmond;Kooldioxide (CO2);6964119;kg
2015;43135;Ahrend Produktiebedrijf Sint-Oedenrode BV;Sint-Oedenrode;Kooldioxide (CO2);1234573;kg
2015;43139;Ardagh Metal Packaging Netherlands B.V.;Oss;Kooldioxide (CO2);717892;kg
2015;43205;Coatinc West Brabant BV;Oudenbosch;Kooldioxide (CO2);268000;kg
2015;43210;Aalberts Surface Technologies BV;Eindhoven;Kooldioxide (CO2);654244;kg
2015;43216;SPGPrints;Boxmeer;Kooldioxide (CO2);3372051;kg
2015;43400;GTO Plating BV;'s-Hertogenbosch;Kooldioxide (CO2);208;kg
2015;43403;DAF Trucks N.V.;Eindhoven;Kooldioxide (CO2);25605291;kg
2015;43513;LDM b.v.;Drunen;Kooldioxide (CO2);1749475;kg
2015;43856;Hydro Extrusion Drunen;Drunen;Kooldioxide (CO2);11059065;kg
2015;43869;Efté Coating BV;Eindhoven;Kooldioxide (CO2);610244;kg
2015;44004;Amer Centrale;Geertruidenberg;Kooldioxide (CO2);5702923000;kg
2015;44006;RWZI Oijen (Waterschap Aa en Maas);Oijen;Kooldioxide (CO2);5991094;kg
2015;44007;PreZero Energy Roosendaal B.V.;Roosendaal;Kooldioxide (CO2);331036601;kg
2015;44008;Ennatuurlijk BV, WKC Helmond;Helmond;Kooldioxide (CO2);54322417;kg
2015;44009;BV Afvalverbranding Zuid Nederland (AZN);Moerdijk;Kooldioxide (CO2);913135000;kg
2015;44162;Vlisco Netherlands BV;Helmond;Kooldioxide (CO2);25038474;kg
